City,City Latitude,City Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
"Buckeye, Arizona",33.3702748,-112.5838673,Cafe 25:35,33.370343810472995,-112.58581830901338,Café
"Buckeye, Arizona",33.3702748,-112.5838673,La Placita Cafe,33.370732583836016,-112.58540492395784,Mexican Restaurant
"Buckeye, Arizona",33.3702748,-112.5838673,Millstone Cafe,33.370318364535905,-112.579704668496,Coffee Shop
"Buckeye, Arizona",33.3702748,-112.5838673,Argento's Pizza & Wings,33.3702749618134,-112.57934510707855,Pizza Place
"Buckeye, Arizona",33.3702748,-112.5838673,Dollar General,33.37075432095783,-112.5832611322403,Discount Store
"Buckeye, Arizona",33.3702748,-112.5838673,Wild West Cowboy Steak House,33.370673917362986,-112.59045855695305,Mexican Restaurant
"Buckeye, Arizona",33.3702748,-112.5838673,Chase Bank,33.370729,-112.5862,Bank
"Buckeye, Arizona",33.3702748,-112.5838673,Family Dollar,33.37003304124224,-112.5808310508728,Discount Store
"Buckeye, Arizona",33.3702748,-112.5838673,Shell,33.37022168,-112.58472303,Gas Station
"Buckeye, Arizona",33.3702748,-112.5838673,SUBWAY,33.373419,-112.573791,Sandwich Place
"Buckeye, Arizona",33.3702748,-112.5838673,Circle K,33.37273372307199,-112.57419289849146,Gas Station
"Buckeye, Arizona",33.3702748,-112.5838673,Ranchero's,33.370692,-112.585856,Mexican Restaurant
"Buckeye, Arizona",33.3702748,-112.5838673,Memphis Best BBQ,33.370539,-112.582781,BBQ Joint
"Buckeye, Arizona",33.3702748,-112.5838673,Cox,33.36899367113426,-112.5830841064453,Business Service
"Buckeye, Arizona",33.3702748,-112.5838673,Absolute Screen Printing,33.37036213333333,-112.58605755,Print Shop
"Buckeye, Arizona",33.3702748,-112.5838673,Butcher & The Farmer,33.37062779643035,-112.5888042667702,Grocery Store
"Buckeye, Arizona",33.3702748,-112.5838673,Kurt's Locksmith,33.36356365644532,-112.58651733398438,Locksmith
"Buckeye, Arizona",33.3702748,-112.5838673,Buckeye Sports Field,33.364877,-112.589481,Baseball Field
"Buckeye, Arizona",33.3702748,-112.5838673,Earl Edgar Rec. Park,33.3643771053423,-112.5897383221721,Park
"Anchorage, Alaska",61.2163129,-149.8948523,Glacier BrewHouse,61.217718738594435,-149.89683921504923,Brewery
"Anchorage, Alaska",61.2163129,-149.8948523,Humpy's Great Alaskan Alehouse,61.216426512234555,-149.89414646840422,Bar
"Anchorage, Alaska",61.2163129,-149.8948523,Crow's Nest,61.21783800371043,-149.89971751455235,Seafood Restaurant
"Anchorage, Alaska",61.2163129,-149.8948523,49th State Brewing,61.21973585894366,-149.8959752380344,Brewery
"Anchorage, Alaska",61.2163129,-149.8948523,Apple Anchorage 5th Avenue Mall,61.2171402,-149.8886715,Electronics Store
"Anchorage, Alaska",61.2163129,-149.8948523,Wild Scoops,61.21783919227816,-149.89149447432615,Ice Cream Shop
"Anchorage, Alaska",61.2163129,-149.8948523,Ginger,61.21768192147669,-149.89056366277035,Asian Restaurant
"Anchorage, Alaska",61.2163129,-149.8948523,Hotel Captain Cook,61.2177015784234,-149.90083881959058,Hotel
"Anchorage, Alaska",61.2163129,-149.8948523,Alaska Center for the Performing Arts,61.216988947367405,-149.89371848572299,Performing Arts Venue
"Anchorage, Alaska",61.2163129,-149.8948523,Dark Horse Coffee Co.,61.215766283167405,-149.8935472404339,Coffee Shop
"Anchorage, Alaska",61.2163129,-149.8948523,Bernie's Bungalow Lounge,61.21581482843673,-149.88972308321405,Bar
"Anchorage, Alaska",61.2163129,-149.8948523,Club Paris,61.217581103024784,-149.89018350693223,Steakhouse
"Anchorage, Alaska",61.2163129,-149.8948523,Orso,61.217657364086925,-149.89594041397862,Seafood Restaurant
"Anchorage, Alaska",61.2163129,-149.8948523,Bubbly Mermaid Oyster Bar,61.218149,-149.889501,Seafood Restaurant
"Anchorage, Alaska",61.2163129,-149.8948523,F St Station,61.21878771663381,-149.89345445766625,Pub
"Anchorage, Alaska",61.2163129,-149.8948523,Anchorage Downtown Market & Festival,61.21967780386326,-149.88954261286935,Farmers Market
"Anchorage, Alaska",61.2163129,-149.8948523,Anchorage Museum,61.21609010239,-149.88565948134283,History Museum
"Anchorage, Alaska",61.2163129,-149.8948523,Town Square Park,61.21706943785726,-149.89256858825684,Park
"Anchorage, Alaska",61.2163129,-149.8948523,Skinny Raven Sports,61.214491965000825,-149.8977521146641,Sporting Goods Shop
"Anchorage, Alaska",61.2163129,-149.8948523,Kumagoro,61.218710372645255,-149.892751451179,Sushi Restaurant
"Anchorage, Alaska",61.2163129,-149.8948523,Anchorage Visitor Information Center,61.21845257770165,-149.89328475176237,Tourist Information Center
"Anchorage, Alaska",61.2163129,-149.8948523,Snow City Cafe,61.21853391887139,-149.90337419877315,Breakfast Spot
"Anchorage, Alaska",61.2163129,-149.8948523,Grizzly's Gifts,61.21867295828349,-149.8915101593285,Gift Shop
